order,family,upham_species,mdd_species,mcc_tree_name,sex_chr,citation
CARNIVORA,HERPESTIDAE,Rhynchogale_melleri,Rhynchogale_melleri,Rhynchogale_melleri_HERPESTIDAE_CARNIVORA,0,Couturier J and Dutrillaux B 1985
CARNIVORA,HERPESTIDAE,Suricata_suricatta,Suricata_suricatta,Suricata_suricatta_HERPESTIDAE_CARNIVORA,0,Fredga 1972
PRIMATES,ATELIDAE,Alouatta_arctoidea,Alouatta_arctoidea,Alouatta_arctoidea_ATELIDAE_PRIMATES,1,Steinberg et al 2014; Stanyon et al 1995
PRIMATES,ATELIDAE,Alouatta_belzebul,Alouatta_belzebul,Alouatta_belzebul_ATELIDAE_PRIMATES,1,Steinberg et al 2014; Armanda et al 1987
PRIMATES,ATELIDAE,Alouatta_caraya,Alouatta_caraya,Alouatta_caraya_ATELIDAE_PRIMATES,1,Steinberg et al 2014; de Oliveira et al 2002; Mudry et al 2001
PRIMATES,ATELIDAE,Alouatta_discolor,Alouatta_discolor,Alouatta_discolor_ATELIDAE_PRIMATES,NA,
PRIMATES,ATELIDAE,Alouatta_guariba,Alouatta_guariba,Alouatta_guariba_ATELIDAE_PRIMATES,1,Steinberg et al 2014; de Oliveira et al 2002
PRIMATES,ATELIDAE,Alouatta_juara,Alouatta_seniculus,Alouatta_juara_ATELIDAE_PRIMATES,1,"Lima & Seuánez H, 1991, Stanyon et al, 1995; Steinberg et al, 2014"
PRIMATES,ATELIDAE,Alouatta_macconnelli,Alouatta_macconnelli,Alouatta_macconnelli_ATELIDAE_PRIMATES,1,Steinberg et al 2014; de Oliveira et al 2002; Lima et al 1990
PRIMATES,ATELIDAE,Alouatta_nigerrima,Alouatta_nigerrima,Alouatta_nigerrima_ATELIDAE_PRIMATES,NA,
PRIMATES,ATELIDAE,Alouatta_palliata,Alouatta_palliata,Alouatta_palliata_ATELIDAE_PRIMATES,1,Steinberg et al 2014; Solari & Rahn 2005
PRIMATES,ATELIDAE,Alouatta_pigra,Alouatta_pigra,Alouatta_pigra_ATELIDAE_PRIMATES,1,Steinberg et al 2014; Steinberg et al 2008
PRIMATES,ATELIDAE,Alouatta_puruensis,Alouatta_seniculus,Alouatta_puruensis_ATELIDAE_PRIMATES,1,Assigned based on merging of species with A. seniculus
PRIMATES,ATELIDAE,Alouatta_sara,Alouatta_sara,Alouatta_sara_ATELIDAE_PRIMATES,1,Steinberg et al 2014; Stanyon et al 1995; Minezawa et al 1985
PRIMATES,ATELIDAE,Alouatta_seniculus,Alouatta_seniculus,Alouatta_seniculus_ATELIDAE_PRIMATES,1,"Lima & Seuánez H 1991, Stanyon et al 1995; Steinberg et al 2014"
PRIMATES,ATELIDAE,Alouatta_ululata,Alouatta_ululata,Alouatta_ululata_ATELIDAE_PRIMATES,1,Viana et al 2015
PRIMATES,ATELIDAE,Ateles_belzebuth,Ateles_belzebuth,Ateles_belzebuth_ATELIDAE_PRIMATES,0,Kunkel et al 1980; de Oliveira et al 2005
PRIMATES,ATELIDAE,Ateles_chamek,Ateles_chamek,Ateles_chamek_ATELIDAE_PRIMATES,0,Medeiros et al 1997
PRIMATES,ATELIDAE,Ateles_fusciceps,Ateles_fusciceps,Ateles_fusciceps_ATELIDAE_PRIMATES,0,Kunkel et al 1980
PRIMATES,ATELIDAE,Ateles_geoffroyi,Ateles_geoffroyi,Ateles_geoffroyi_ATELIDAE_PRIMATES,0,Kunkel et al 1980
PRIMATES,ATELIDAE,Ateles_hybridus,Ateles_hybridus,Ateles_hybridus_ATELIDAE_PRIMATES,0,Medeiros et al 1997
PRIMATES,ATELIDAE,Ateles_marginatus,Ateles_marginatus,Ateles_marginatus_ATELIDAE_PRIMATES,0,Medeiros et al 1997
PRIMATES,ATELIDAE,Ateles_paniscus,Ateles_paniscus,Ateles_paniscus_ATELIDAE_PRIMATES,0,Kunkel et al 1980
PRIMATES,ATELIDAE,Brachyteles_arachnoides,Brachyteles_arachnoides,Brachyteles_arachnoides_ATELIDAE_PRIMATES,0,de Oliveira et al 2005
PRIMATES,ATELIDAE,Brachyteles_hypoxanthus,Brachyteles_hypoxanthus,Brachyteles_hypoxanthus_ATELIDAE_PRIMATES,NA,
PRIMATES,ATELIDAE,Lagothrix_cana,Lagothrix_lagotricha,Lagothrix_cana_ATELIDAE_PRIMATES,0,Stanyon et al 2001
PRIMATES,ATELIDAE,Lagothrix_lagotricha,Lagothrix_lagotricha,Lagothrix_lagotricha_ATELIDAE_PRIMATES,0,Stanyon et al 2001
PRIMATES,ATELIDAE,Lagothrix_lugens,Lagothrix_lagotricha,Lagothrix_lugens_ATELIDAE_PRIMATES,0,Stanyon et al 2001
PRIMATES,ATELIDAE,Lagothrix_poeppigii,Lagothrix_lagotricha,Lagothrix_poeppigii_ATELIDAE_PRIMATES,0,Stanyon et al 2001
PRIMATES,ATELIDAE,Oreonax_flavicauda,Lagothrix_flavicauda,Oreonax_flavicauda_ATELIDAE_PRIMATES,NA,
CETARTIODACTYLA,BOVIDAE,Addax_nasomaculatus,Addax_nasomaculatus,Addax_nasomaculatus_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020; Rubes et al 2012
CETARTIODACTYLA,BOVIDAE,Aepyceros_melampus,Aepyceros_melampus,Aepyceros_melampus_BOVIDAE_CETARTIODACTYLA,0,
CETARTIODACTYLA,BOVIDAE,Alcelaphus_buselaphus,Alcelaphus_buselaphus,Alcelaphus_buselaphus_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020; Rubes et al 2012
CETARTIODACTYLA,BOVIDAE,Ammodorcas_clarkei,Ammodorcas_clarkei,Ammodorcas_clarkei_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Ammotragus_lervia,Ammotragus_lervia,Ammotragus_lervia_BOVIDAE_CETARTIODACTYLA,0,Buckland and Evans 1978
CETARTIODACTYLA,BOVIDAE,Antidorcas_marsupialis,Antidorcas_marsupialis,Antidorcas_marsupialis_BOVIDAE_CETARTIODACTYLA,0,Vassart et al 1995
CETARTIODACTYLA,BOVIDAE,Antilope_cervicapra,Antilope_cervicapra,Antilope_cervicapra_BOVIDAE_CETARTIODACTYLA,1,Cernohorska et al 2012
CETARTIODACTYLA,BOVIDAE,Arabitragus_jayakari,Arabitragus_jayakari,Arabitragus_jayakari_BOVIDAE_CETARTIODACTYLA,NA,
